CiscoPN,Description,DeviceType,Fixed-Modular,Rackmount,Powers,P2,Fans,F2,Accessories,A2,A3,A4,A5,A6,Blank,B2,B3,Console,DIMS,Weight,ID,Other,images
N9K-C93180YC-EX,NEXUS 9300 WITH 48P 10/25G SFP+ AN,Switch,Modular,NXK-ACC-KIT-1RU,"NXA-PAC-500W-PI, NXA-PAC-500W-PE, NXA-PAC-650W-PE, NXA-PAC-650W-PI, N9K-PUV-1200W","NXA-PDC-930W-PI, NXA-PDC-930W-PE","NXA-FAN-30CFM-F, NXA-FAN-30CFM-B",,,,,,,,,,,RJ45,17.3 x 22.5 x 1.72,17.2,407,"AC OR DC option, different air flow options",
N9K-C93180YC-EX-WS,"N9300, 48p 10/25G SFP+ and 6p 100G QSFP28",,,,,,,,,,,,,,,,,,,,408,,
N9K-C93180YC-FX,"Nexus 9300 with 48p 10/25G SFP+, 6p 100G QSFP, MACsec, UP",Switch,Modular,NXK-ACC-KIT-1RU,"NXA-PAC-500W-PI, NXA-PAC-500W-PE, N9K-PUV-1200W","NXA-PDC-930W-PI, NXA-PDC-930W-PE","NXA-FAN-30CFM-F, NXA-FAN-30CFM-B",,,,,,,,,,,RJ45,17.3 x 22.5 x 1.72,17.4,409,"AC OR DC option, different air flow options",
N9K-C93180YC-FX-WS,"Nexus 9300 w/ 48p 10/25G SFP+ 6p 100G QSFP, MAC sec, UP",,,,,,,,,,,,,,,,,,,,410,,
N9K-C93240YC-FX2,Nexus 9K Fixed with 48p 1/10G/25G SFP and 12p 40G/100G,Switch,Modular,NXK-ACC-KIT-1RU,"NXA-PAC-750W-PI, NXA-PAC-750W-PE, NXA-PAC-1100W-PI2, NXA-PAC-1100W-PE2, NXA-PHV-1100W-PI, NXA-PHV-1100W-PE","NXA-PDC-1100W-PI, NXA-PDC-1100W-PE","NXA-FAN-35CFM-PE, NXA-FAN-35CFM-PI",,,,,,,,,,,RJ45,17.3 x 23.3 x 2.1,22,411,"AC OR DC option, different air flow options",
N9K-C93240YC-FX2-WS,Nexus 9300 w/ 48p 10/25G SFP+ and 12p 100G QSFP28,,,,,,,,,,,,,,,,,,,,412,,
N9K-C9332C,"Nexus 9K ACI & NX-OS Spine, 32p 40/100G & 2p 10G",Switch,Modular,"N9K-C9300-ACK, N3K-C3064-ACC-KIT, NXK-ACC-KIT-1RU","NXA-PAC-750W-PI, NXA-PAC-750W-PE, NXA-PAC-1100W-PE2, NXA-PAC-1100W-PI2, NXA-PHV-1100W-PE, NXA-PHV-1100W-PI","NXA-PDC-1100W-PE, NXA-PDC-1100W-PI","NXA-FAN-35CFM-PE, NXA-FAN-35CFM-PI",,,,,,,,,,,RJ45,17.3 x 22.9 x 1.7,25.1,413,"AC OR DC option, different air flow options",
N9K-C9336C-FX2,Nexus 9K Fixed with 36p 40G/100G QSFP28,Switch,Modular,NXK-ACC-KIT-1RU,"NXA-PAC-750W-PI, NXA-PAC-750W-PE, NXA-PAC-1100W-PI2, NXA-PAC-1100W-PE2, NXA-PHV-1100W-PI, NXA-PHV-1100W-PE","NXA-PDC-1100W-PI, NXA-PDC-1100W-PE","NXA-FAN-35CFM-PE, NXA-FAN-35CFM-PI",,,,,,,,,,,RJ45,17.3 x 24.5 x 1.72,18.8,414,"AC OR DC option, different air flow options",
N9K-C9372PX,48 X 1/10-GBPS SFP+ AND 6 X 40-GBPS,Switch,Modular,"N3K-C3064-ACC-KIT, N9K-C9300-ACK","N9K-PAC-650W, N9K-PAC-650W-B, N9K-PUV-1200W",UCSC-PSU-930WDC,"NXA-FAN-30CFM-F, NXA-FAN-30CFM-B",,,,,,,,,,,RJ45,17.3 x 22.5 x 1.72,22.2,415,"AC OR DC option, different air flow options",
N9K-C9372PX-E,NEXUS 9300 WITH 48P 10G SFP+ AND,Switch,Modular,"N3K-C3064-ACC-KIT, N9K-C9300-ACK","N9K-PAC-650W, N9K-PAC-650W-B, N9K-PUV-1200W",UCSC-PSU-930WDC,"NXA-FAN-30CFM-F, NXA-FAN-30CFM-B",,,,,,,,,,,RJ45,17.3 x 22.5 x 1.72,22.2,416,"AC OR DC option, different air flow options",
N9K-C9372TX,NEXUS 9300 WITH 48P 1/10G-T AND 6P+,Switch,Modular,"N3K-C3064-ACC-KIT, N9K-C9300-ACK","N9K-PAC-650W, N9K-PAC-650W-B, N9K-PUV-1200W",UCSC-PSU-930WDC,"NXA-FAN-30CFM-F, NXA-FAN-30CFM-B",,,,,,,,,,,RJ45,17.3 x 22.5 x 1.72,22.6,417,"AC OR DC option, different air flow options",
N9K-C9396PX,48 1/10-GBPS SFP+ AND UP TO 12 40G,Switch,Modular,"N3K-C3064-ACC-KIT, N9K-C9300-ACK","N9K-PAC-650W, N9K-PAC-650W-B, N9K-PUV-1200W",UCSC-PSU-930WDC,"N9K-C9300-FAN2, N9K-C9300-FAN2-B",,,,,,,,,,,RJ45,17.5 x 22.5 x 3.5,22.45,418,"AC OR DC option, different air flow options",
N9K-C9504,Nexus 9504 Chassis with 4 linecard slots,chassis,Modular,N9K-C9504-RMK,"N9K-PAC-3000W-B, N9K-PUV-3000W-B, N9K-PUV2-3000W-B",N9K-PDC-3000W-B,"N9K-C9504-FAN, N9K-C9504-FAN2",,,,,,,,N9K-C9504-FM-CV,,,RJ45,17.50 x 33.15 x 12.25,84,419,,
N9K-M12PQ,ACI UPLINK MODULE FOR NEXUS 9300,Module,,,,,,,,,,,,,,,,,,,420,,
N9K-PDC-3000W-B,"Nexus 9500 3000W -48V DC PS, Port-side Intake",Module,,,,,,,,,,,,,,,,,,,421,,
N9K-SC-A,System Controller for Nexus 9500,card,,,,,,,,,,,,,,,,,,,422,,
N9K-SUP-A+,Supervisor for Nexus 9500,card,,,,,,,,,,,,,,,,,,,423,,
N9K-SUP-B,Supervisor B for Nexus 9500,card,,,,,,,,,,,,,,,,,,,424,,
N9K-X97160YC-EX,"Nexus 9500 NX-OS linecard, 48p 10G/25G with 4p 100G QSFP28",card,,,,,,,,,,,,,,,,,,,425,,
N9K-X9736C-FX,"Nexus 9500 36p 100G NX-OS Agg, ACI Spine, MACSec line card",card,,,,,,,,,,,,,,,,,,,426,,
NC55-2RU-ACC-KIT,NCS 55A2 Accessory Kit for 2RU Chassis,Accessory,,,,,,,,,,,,,,,,,,,427,,
NC55-MPA-4H-S,NCS 5500 4X100G QSFP28 MPA.,Module,,,,,,,,,,,,,,,,,,,428,,
NCS2K-200G-CK-LIC,50G/100G/200G CPAK Multi-Rate Line Card - SD FEC - C-Band,card,,,,,,,,,,,,,,,,,,,429,,
NCS2K-20-SMRFS-WS,20-port Single Module ROADM - Switchable Gain Flex Spectrum,card,,,,,,,,,,,,,,,,,,,430,,
NCS2K-400G-XP-WS,400G CFP2 MR Xponder,card,,,,,,,,,,,,,,,,,,,431,,
NCS-5001,Cisco NCS 5001 Series Router,Router,Modular,NCS-5001-ACSR,"NC5K-PAC-650W-FR, NC5K-PAC-650W-BK","NC5K-PDC-930W-FR, NC5K-PDC-930W-BK",NCS-5001-FN-FR,NCS-5001-FN-BK,,,,,,,,,,RJ45,17.44 x 19.3 x 1.72,20.5,432,"AC OR DC option, different air flow options",
NCS-5002,Cisco NCS 5002 Series Router,Router,Modular,NCS-5002-ACSR,"NC5K-PAC-650W-FR, NC5K-PAC-650W-BK","NC5K-PDC-930W-FR, NC5K-PDC-930W-BK",NCS-5002-FN-FR,NCS-5002-FN-BK,,,,,,,,,,RJ45,17.44 x 19.3 x 3.38,33,433,"AC OR DC option, different air flow options",
NCS-5002-WS,Cisco NCS 5002 Series Router,Router,,,,,,,,,,,,,,,,,,,434,,
NCS-5011,Cisco NCS 5011 Routing System,Router,Modular,NCS-5011-ACSR,"NC5K-PAC-650W-FR, NC5K-PAC-650W-BK","NC5K-PDC-930W-FR, NC5K-PDC-930W-BK",NCS-5011-FN-FR,NCS-5011-FN-BK,,,,,,,,,,RJ45,17.3 x 22.5 x 1.72,22.2,435,"AC OR DC option, different air flow options",
NCS-5011-32F,Cisco NCS 5000 Series Router 32x40GE,Router,Modular,NCS-5011-ACSR,"NC5K-PAC-650W-FR, NC5K-PAC-650W-BK","NC5K-PDC-930W-FR, NC5K-PDC-930W-BK",NCS-5011-FN-FR,NCS-5011-FN-BK,,,,,,,,,,RJ45,17.3 x 22.5 x 1.72,22.2,436,"AC OR DC option, different air flow options",
NCS-5501,NCS5501 Fixed 48x10G and 6x100G chassis,Router,Modular,NCS-1RU-ACC-KIT,"NCS-1100W-ACFW, NCS-1100W-ACRV","NCS-950W-DCFW-A, NCS-1100W-DCRV, NCS-950W-DCFW",NCS-1RU-FAN-RV,NCS-1RU-FAN-FW,,,,,,,,,,RJ45,17.4 x 21.7 x 1.72,22.8,437,"AC OR DC option, different air flow options",
NCS-5501-SE,NCS5501 40x10G and 4x100G Scale Chassis,Router,Modular,NCS-1RU-ACC-KIT,"NCS-1100W-ACFW, NCS-1100W-ACRV","NCS-950W-DCFW-A, NCS-1100W-DCRV, NCS-950W-DCFW",NCS-1RU-FAN-RV,NCS-1RU-FAN-FW,,,,,,,,,,RJ45,17.4 x 21.7 x 1.72,22.8,438,"AC OR DC option, different air flow options",
NCS-5501-SE-SYS,Network Convergence System 5501 Flexible Consumption,Router,Modular,NCS-1RU-ACC-KIT,"NCS-1100W-ACFW, NCS-1100W-ACRV","NCS-950W-DCFW-A, NCS-1100W-DCRV, NCS-950W-DCFW",NCS-1RU-FAN-RV,NCS-1RU-FAN-FW,,,,,,,,,,RJ45,17.4 x 21.7 x 1.72,22.8,439,"AC OR DC option, different air flow options",
NCS-5502-SE,NCS 5502 - 48x100G Scale Chassis.,Router,Modular,NCS-2RU-ACC-KIT,"NC55-2KW-ACRV, NC55-2KW-ACFW","NC55-2KW-DCRV, NC55-2KW-DCFW",NC55-2RU-FAN-RV,NC55-2RU-FAN-FW,"NCS-5502-FLTR-RV, NCS-5502-FLTR-FW",,,,,,,,,RJ45,17.3 x 30 x 3.45,52.5,440,"AC OR DC option, different air flow options",
NCS-55A1-36H-SE-S,NCS55A1 Fixed 36x100G Scale chassis,Router,Modular,NCS55-A1-ACC-KIT,"NC55-2KW-ACRV, NC55-2KW-ACFW","NC55-2KW-DCRV, NC55-2KW-DCFW",NC55-A1-FAN-FW,NC55-A1-FAN-RV,,,,,,,,,,RJ45,17.3 x 30 x 1.72,33,441,"AC OR DC option, different air flow options",
NCS-55A2-MOD-SE-S,Fixed 24X10G + 16X25G & MPA Scale Chassis,Router,Modular,NCS-2RU-ACC-KIT,NC55-1200W-ACFW,NC55-930W-DCFW,NC55-A2-FAN-FW,NC55-A2-FAN-L-FW,,,,,,,NC55-MPA-BLNK,,,RJ45,17.3 x 11.2 x 3.46,20.5,442,AC OR DC option,
NPE-400,7200VXR NPE-400 (256MB default,card,,,,,,,,,,,,,,,,,,,443,,
NPE-G1,7200 Network Processing Engine with,card,,,,,,,,,,,,,,,,,,,444,,
NPE-G2,7200 series NPE-G2 engine with 3,card,,,,,,,,,,,,,,,,,,,445,,
RFGW-1,RFGW-1-D CHASSIS FPD I/O FANS 2 PS,Gateway,Modular,RFGW-1-RAIL24,RFGW-1-PS-AC,RFGW-1-PS-DC,RFGW-1-FAN,,RFGW-1-FPD,RFGW-1-IO-MOD,,,,,RFGW-1-QAM-CVR6,,,,19 x 21 x 1.75,27.5,446,AC OR DC option,
RFGW-1-PS-AC,RFGW-1 AC POWER SUPPLY MODULE,Module,,,,,,,,,,,,,,,,,,,447,,
RFGW-1-QAM-MOD,RFGW-1-D QAM MODULE (2X4QAM),Module,,,,,,,,,,,,,,,,,,,448,,
RSP720-3C-10GE,Cisco 7600 Route Switch Processor,card,,,,,,,,,,,,,,,,,,,449,,
RSP720-3C-GE,CISCO 7600 ROUTE SWITCH PROCESSOR,card,,,,,,,,,,,,,,,,,,,450,,
RSP720-3CXL-10GE,Cisco 7600 Route Switch Processor,card,,,,,,,,,,,,,,,,,,,451,,
RSP720-3CXL-GE,7600 ROUTE SWITCH PROCESSOR,card,,,,,,,,,,,,,,,,,,,452,,
RV320-K9-NA,CISCO SMALL BUSINESS RV320 DUAL,Router,Fixed,,Power Cube,,,,,,,,,,,,,,8.1 x 1.7 x 5.2,2.87,453,,
RV340,Cisco RV340 Dual WAN Gigabit VPN Router,Router,Fixed,CK-300RM-8-19,Power Cube,,,,,,,,,,,,,Serial,11 x 6.75 x 1.75,2.1,454,,
SD-AR1K-N54ASYSC,AR LEVEL 1 NO SW SUP NCS540 24x1/10G SFP+,License,,,,,,,,,,,,,,,,,,,455,,
SD-SWK-ADVAC1G1,SWSS B NO UPG AccessNetworkAdvancedSWRight-to-Useper10G,License,,,,,,,,,,,,,,,,,,,456,,
SD-SWK-ESSAC1G1,SWSS B NO UPG AccessNetworkEssentialsSWRight-to-Useper10G,License,,,,,,,,,,,,,,,,,,,457,,
SF300-24PP-K9-NA,SF300-24PP 24PT 10/100,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,Serial,17.3 x 10.1 x 1.45,8.25,458,,
SF302-08P-K9-NA,8-Port 10/100 PoE Managed Switch with Gigabit Uplinks,Switch,Fixed,CK-300RM-8-19,4 Pin power supply. No Oficially PID,,,,,,,,,,,,,Serial,11 x 6.7 x 1.45,2.67,459,,
SF302-08PP-K9,8X 10/100 POE+ PORTS WITH 62W POWER,Switch,Fixed,CK-300RM-8-19,4 Pin power supply. No Oficially PID,,,,,,,,,,,,,Serial,11 x 6.7 x 1.45,2.6,460,,
SF352-08P-K9,Cisco Small Business SF352-08P - switch - 8 ports - managed,Switch,Fixed,CK-300RM-8-19,4 Pin power supply. No Oficially PID,,,,,,,,,,,,,Serial,11 x 6.69 x 1.73,1.16,461,,
SF352-08P-K9-NA,Cisco Small Business SF352-08P - switch - 8 ports - managed,,,,,,,,,,,,,,,,,,,,462,,
SF550X-48P-K9-NA,Cisco SF550X 48 x 10/100 PoE+ ports with 382W power budget,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,RJ45,17.3 x 10.12 x 1.7,5.09,463,,
SF-FMC-VMW-2-K9,"Cisco Firepower Management Center, (VMWare) for 2 devices",License,,,,,,,,,,,,,,,,,,,464,,
SG100-16,"16 10/100/1000 ports, Unmanaged rack-mount switch",Switch,Fixed,RM100-19 ,,,,,,,,,,,,,,,11 x 6.7 x 1.75,2.79,465,,
SG110-24HP-NA,24-Port PoE Unmanaged Gigabit Switch,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,,11 x 6.69 x 1.73,2.14,466,,
SG110-24-NA,24-Port Ethernet Switch,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,,11 x 6.69 x 1.73,2.14,467,,
SG200-26P,26 PORT GIGABIT SMART SWITCH POE,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,,17.35 x 10.1 x 1.73,8.09,468,,
SG220-26P-K9-NA,SG220-26P 26PORT,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,RJ45,17.32 x 9.84 x 1.73,8.1,469,,
SG220-50P-K9-NA,CISCO SG220-50P 50-PORT GIGABIT,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,RJ45,17.32 x 13.7 x 1.73,11.6,470,,
SG250-10P-K9-NA,Cisco Small Business SG250-10P - switch - 10 ports -smartnet,Switch,Fixed,CK-300RM-8-19,4 Pin power supply. No Oficially PID,,,,,,,,,,,,,,11 x 6.69 x 1.73,2.65,471,,
SG250-10P-K9-NA-WS,SG250-10P 10port Gigabit PoE Switch,,,,,,,,,,,,,,,,,,,,472,,
SG250-26HP-K9-NA,Cisco SG250-26HP 26-port Gigabit PoE Switch,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,,17.3 x 10.12 x 1.73,7.43,473,,
SG250X-48P-K9-NA,SG250X-48P 48-Port Gigabit PoE Smart Switch with 10G Uplinks,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,,17.3 x 13.78 x 1.73,10.67,474,,
SG300-10MPPK9EU,SG300-10MPP10portGigabitMaxPoE+ManagedSwitch,Switch,Fixed,CK-300RM-8-19,4 Pin power supply. No Oficially PID,,,,,,,,,,,,,Serial,11 x 6.7 x 1.45,2.73,475,,
SG300-52MP-K9,CISCO SMALL BUSINESS SG300-52MP - +,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,Serial,17.3 x 13.78 x 1.45,11.73,476,,
SG350-10-K9-NA,MANAGED SWITCH 10-PORTS GIGABIT ETT,Switch,Fixed,CK-300RM-8-19,4 Pin power supply. No Oficially PID,,,,,,,,,,,,,Serial,11 x 6.69 x 1.73,2.4,477,,
SG350-10-K9-UK,Switch - 10 ports - L3 - Managed,,,,,,,,,,,,,,,,,,,,478,,
SG350-10MP-K9-NA,Cisco SG350-10MP 10-port Gigabit PoE Managed Switch,Switch,Fixed,CK-300RM-8-19,4 Pin power supply. No Oficially PID,,,,,,,,,,,,,Serial,11 x 6.69 x 1.73,2.62,479,,
SG350-10P-K9-EU,Cisco SG350-10P 10-port Gigabit POE ManagedSW,,,,,,,,,,,,,,,,,,,,480,,
SG350-10P-K9-NA,10-port Gigabit PoE Managed Switch,Switch,Fixed,CK-300RM-8-19,4 Pin power supply. No Oficially PID,,,,,,,,,,,,,Serial,17.3 x 7.99 x 1.73,2.62,481,,
SG350-28MP-K9-NA,Cisco SG350-28MP 28-Port Gigabit PoE Managed Switch,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,RJ45,17.3 x 10.12 x 1.73,7.43,482,,
SG-350-28P-K9,Cisco Small Business SG350-28P - switch - 28 ports - managed,,,,,,,,,,,,,,,,,,,,483,,
SG350-28P-K9-NA,28-Port Gigabit PoE Managed Switch,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,RJ45,17.3 x 10.12 x 1.73,8.44,484,,
SG350-52MP-K9-NA,Cisco SG350-52MP 52-Port Gigabit PoE+ Managed Switch,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,RJ45,17.3 x 13.78 x 1.73,8.44,485,,
SG350-52P-K9-NA,Cisco SG350-52P 52-port Gigabit PoE Managed Switch,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,RJ45,17.3 x 13.78 x 1.73,8.44,486,,
SG350X-24-K9-NA,"SG350X-24-K9 CISCO SMB 24x GE, 2x 10G/SFP+, 2x SFP+",Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,RJ45,17.3 x 10.12 x 1.73,9.52,487,,
SG350X-24PD-K9,20 x 10/100/1000 PoE+ ports with 375W power budget,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,RJ45,17.3 x 13.78 x 1.73,8.79,488,,
SG350X-48-K9,48 x 10/100/1000 ports,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,RJ45,17.3 x 10.12 x 1.73,8.22,489,,
SG350X-48MP-K9,48 x 10/100/1000 PoE+ ports with 740W power budget,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,RJ45,17.3 x 17.72 x 1.73,14.75,490,,
SG350X-48P-K9,48 x 10/100/1000 PoE+ ports w/ 382W pwr budget-Cisco Excess,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,RJ45,17.3 x 13.78 x 1.73,12.83,491,,
SG350XG-24F-K9,24x 10 Gigabit Ethernet SFP+,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,RJ45,17.3 x 13.78 x 1.73,9.17,492,,
SG500-28P-K9-G5,SG500-28P28port GB POE StackableManagedSwitch,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,Serial,17.3 x 10.11 x 1.73,8.7,493,,
SG500X-24P-K9,Cisco SG500X-24P,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,Serial,17.3 x 13.77 x 1.73,11.57,494,,
SG500X-48-K9-NA,SG500X-48 48PT GB 4PT 10GB STK MGD,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,Serial,17.3 x 10.11 x 1.73,8.8,495,,
SG550XG-8F8T-K9-NA,CISCO SYSTEMS SG550XG-8F8T,Switch,Fixed,CK-300RM-19,,,,,,,,,,,,,,Serial,17.3 x 10.12 x 1.7,8.36,496,,
SISR1100UK9-169,Cisco ISR 1100 Series IOS XE Universal,IOS,,,,,,,,,,,,,,,,,,,497,,
SISR4300UCMK9-173,Cisco ISR 4300 Series SD-WAN IOS XE Universal,IOS,,,,,,,,,,,,,,,,,,,498,,
SM-ES2-24-P,"Enhanced EtherSwitch, L2, SM, 23",Module,,,,,,,,,,,,,,,,,,,499,,
SM-ES3G-16-P,"Enhcd EtherSwitch, L2/L3, SM, 16GE,",Module,,,,,,,,,,,,,,,,,,,500,,
SM-X-24FXS/4FXO,Fixed Port High Density Analog Voice ServiceModule for ISR4K,Module,,,,,,,,,,,,,,,,,,,501,,
SM-X-4X1G-1X10G,4-PORT GIGABIT ETHERNET,Module,,,,,,,,,,,,,,,,,,,502,,
SM-X-72FXS,Fixed Port High Density Analog Voice ServiceModule for ISR4K,Module,,,,,,,,,,,,,,,,,,,503,,
SM-X-ES3-24-P,"SM-X ETHERSWITCH, L2/L3, SM, 24 GE",Module,,,,,,,,,,,,,,,,,,,504,,
SPA-5X1GE-V2,Cisco 5-Port Gigabit Ethernet,Module,,,,,,,,,,,,,,,,,,,505,,
SPA-8X1GE-V2,Cisco 8-Port Gigabit Ethernet,Module,,,,,,,,,,,,,,,,,,,506,,
SPA-8XOC12-POS,8-port OC12/STM4 POS Shared Port,Module,,,,,,,,,,,,,,,,,,,507,,
SSM-4GE,ASA 5500 4-Port Gigabit Ethernet,Module,,,,,,,,,,,,,,,,,,,508,,
VEDGE-1000-AC-K9,VEdge-1000 AC router base chassis with 8x1GE fixed ports,Router,Fixed,vEdge-1000-Rackmount,vEdge-1000-AC,,,,,,,,,,,,,"RJ45, TYPE B",7.5 x 10 x 1.75,3.55,509,,
VG202XM,CISCO VG202XM ANALOG VOICE GATEWAY,Gateway,Fixed,,PWR-30W-AC,,,,,,,,,,,,,RJ45,8.81 X 8.13 X 1.75,2.98,510,,
VG204,Cisco VG204 Analog Voice Gateway,Gateway,Fixed,,PWR-30W-AC,,,,,,,,,,,,,RJ45,8.81 X 8.13 X 1.75,2.98,511,,
VG204XM,CISCO VG204XM ANALOG VOICE GATEWAY,Gateway,Fixed,,PWR-30W-AC,,,,,,,,,,,,,RJ45,8.81 X 8.13 X 1.75,2.98,512,,
VS-S720-10G,CATALYST 6500 SUPERVISOR 720 WITH,card,,,,,,,,,,,,,,,,,,,513,,
VS-S720-10G-3C,Cat 6500 Supervisor 720 with 2 x,card,,,,,,,,,,,,,,,,,,,514,,
VS-SUP2T-10G,CATALYST 6513-E SUPERVISOR ENGINE 2T,card,,,,,,,,,,,,,,,,,,,515,,
VWIC2-1MFT-T1/E1,1-Port 2nd Gen Multiflex Trunk,Module,,,,,,,,,,,,,,,,,,,516,,
VWIC3-1MFT-T1/E1,1-Port 3rd Gen Multiflex Trunk,Module,,,,,,,,,,,,,,,,,,,517,,
VWIC3-2MFT-T1/E1,2-Port 3rd Gen Multiflex Trunk,Module,,,,,,,,,,,,,,,,,,,518,,
WAVE-694-K9,WIDE AREA VIRTUALIZATION ENGINE 694,WAAS Engines,Modular,Can't find PID,PWR-WAVE-450W,,FAN-WAVE-40MM,,,,,,,,,,,"RJ45 , USB Mini B",16.89 x 20.33 x 1.69,22.51,519,,
WIC-1DSU-T1-V2,Updated 1-Port T1/Fractional T1,Module,,,,,,,,,,,,,,,,,,,520,,
WS-C2924-XL-EN,CATALYST 2924 24-PORT 10/100 SWITCH,Switch,Fixed,STK-RACKMOUNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 9.79 x 1.73,7,521,,
WS-C2960+24PC-L,CATALYST 2960 PLUS 24,Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,,,,RJ45,17.70 x 13.07 x 1.73,12,522,,
WS-C2960+24PC-S,CATALYST 2960 PLUS 24 10/100 POE +,Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,,,,RJ45,17.70 x 13.07 x 1.73,12,523,,
WS-C2960+24TC-L,CATALYST 2960 PLUS 24,Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,,,,RJ45,17.70 x 9.52 x 1.73,8,524,,
WS-C2960+24TC-S,CATALYST 2960 PLUS 24 10/100,Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,,,,RJ45,17.70 x 9.52 x 1.73,8,525,,
WS-C2960+48TC-L,CATALYST 2960-PLUS 48TC-L SWITCH,Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,,,,RJ45,17.70 x 9.52 x 1.73,8,526,,
WS-C2960+48TC-S,CATALYST 2960 PLUS 48 10/100 + 2,Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,,,,RJ45,17.70 x 9.52 x 1.73,8,527,,
WS-C2960-24LT-L,Catalyst 2960 24 10/100 (8 PoE)+ 2,Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,,,,RJ45,17.5 x 13 x 1.73,10,528,,
WS-C2960-24PC-S,Catalyst 2960 24 10/100 PoE + 2,Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,,,,RJ45,17.7 x 13 x 1.73,12,529,,
WS-C2960-24-S,Catalyst 2960 24 10/100   LAN Lite,Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,,,,RJ45,17.7 x 9.52 x 1.73,8,530,,
WS-C2960-48PST-S,Catalyst 2960 48 10/100 PoE + 2,Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,,,,RJ45,17.7 x 13 x 1.73,12,531,,
WS-C2960-48TC-L,Catalyst 2960 48 10/100 + 2 T/SFP,Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,,,,RJ45, 17.5 x 9.3 x 1.73,8,532,,
WS-C2960-48TT-L,Catalyst 2960 48 10/100 + 2 1000BT,Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,,,,RJ45, 17.5 x 9.3 x 1.73,8,533,,
WS-C2960-48TT-S,Catalyst 2960 48 10/100 + 2 1000BT,Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,,,,RJ45,17.7 x 9.52 x 1.73,8,534,,
WS-C2960CG-8TC-L,"Catalyst 2960C Switch 8 GE, 2 x",Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,,,,RJ45,10.6 x 8.4 x 1.75,3,535,,
WS-C2960CPD-8PT-L,Catalyst 2960C PD PSE Switch 8 FE,Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,,,,RJ45,10.6 x 6.8 x 1.75,2.4,536,,
WS-C2960CX-8PC-L-WS,"Catalyst 2960-CX 8 Port PoE, LAN Base",Switch,Fixed,RCKMNT-19-CMPCT=,,,,,,,,,,,,,,RJ45,10.6 x 9.4 x 1.75,5,537,,
WS-C2960CX-8TC-L-WS,Catalyst 2960-CX 8 Port Data Lan Base,Switch,Fixed,RCKMNT-19-CMPCT=,,,,,,,,,,,,,,RJ45,10.6 x 8.4 x 1.75,3.8,538,,
WS-C2960G-24TCL,"Cat2960 24 10/100/1000, 4 T/SFP LAN Base Image",,,,,,,,,,,,,,,,,,,,539,,
WS-C2960G-24TC-L,"Catalyst 2960 24 10/100/1000, 4",Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,,,,RJ45,17.7 x 9.52 x 1.73,8,540,,
WS-C2960G-48TC-L,"Catalyst 2960 48 10/100/1000,  4",Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,,,,RJ45,17.7 x 9.52 x 1.73,8,541,,
WS-C2960G-8TC-L,Catalyst 2960 7 10/100/1000 + 1,Switch,Fixed,RCKMNT-19-CMPCT=,,,,,,,,,,,,,,RJ45,10.6 x 6.4 x 1.73,3,542,,
