CiscoPN,Description,DeviceType,Fixed-Modular,Rackmount,Powers,P2,Fans,F2,Accessories,A2,A3,A4,A5,A6,Blank,B2,B3,Console,DIMS,Weight,ID,Other,images
DPC3825,CISCO DPC3825 8X4 DOCSIS 3.0 WRLSS,Router,Fixed,,,,,,,,,,,,,,,,5.7 x 6.9 x 1.8,1,237,,
DS-C48-300AC,MDS 9148 AC Power Supply,module,,,,,,,,,,,,,,,,,,,238,,
DS-C48S-300AC,MDS 9148S AC Power Supply,module,,,,,,,,,,,,,,,,,,,239,,
DS-C9124-K9,MDS 24-PORT MULTILAYER FABRIC SWITCH,Switch,Modular,DS-9124-KIT-CSCO,DS-C24-300AC,,,,,,,,,,,,,RJ45,17.5 x 16 x 1.75,18.5,240,,
DS-C9148-16P-K9,CISCO MDS 9148 MULTILAYER FABRIC,Switch,Modular,DS-9148-KIT-CSCO,DS-C48-300AC,,DS-C48-FAN,,,,,,,,,,,RJ45,17.16 x 18.89 x 1.72,22.2,241,,
DS-C9148-32P-K9,32-PORT ACTIVE 248GIG FC MDS,Switch,Modular,DS-9148-KIT-CSCO,DS-C48-300AC,,DS-C48-FAN,,,,,,,,,,,RJ45,17.16 x 18.89 x 1.72,22.2,242,,
DS-C9148D-8G32P-K9,"MDS 9148 with 32p enabled, 32x8GFC",Switch,Modular,DS-9148-KIT-CSCO,DS-C48-300AC,,DS-C48-FAN,,,,,,,,,,,RJ45,17.16 x 18.89 x 1.72,22.2,243,,
DS-C9148S-12PK9,CISCO MDS 9148S - SWITCH - MANAGED,Switch,Modular,DS-9148S-KIT-CSCO,DS-C48S-300AC,,DS-C48S-FAN,,,,,,,,,,,RJ45,17.16 x 16.34 x 1.72,19.84,244,,
IAD2431-16FXS,IAD2431 w/ 16 FXS ports,Router,Fixed,ACS-IAD2400RM-19,,,,,,,,,,,,,,RJ45,17.50 x 13.5 x 1.75,11,245,,
IAD2431-1T1E1,IAD2431 w/1 T1/E1 Port (PBX) and 1,Router,Fixed,ACS-IAD2400RM-19,,,,,,,,,,,,,,RJ45,17.50 x 13.5 x 1.75,11,246,,
IAD2432-24FXS,"24 FXS PORTS, 2 10/100BASE-T PORTS",Router,Fixed,ACS-IAD2400RM-19,,,,,,,,,,,,,,RJ45,17.50 x 13.5 x 1.75,11,247,,
IE-1000-8P2S-LM,Cisco IE-1000-8P2S-LM Industrial Ethernet 1000 Switch,Switch,,,,,,,,,,,,,,,,RJ45,1.8 x 4.5 x 5,1.25,248,,
IE-2000-16TC-B,"IE 16 10/100,2 FE SFP+2 T/SFP FE,",Switch,Fixed,STK-RACK-DINRAIL,"PWR-IE50W-AC-L, PWR-IE50W-AC-IEC, PWR-IE65W-PC-AC, PWR-IE240W-PCAC-L, PWR-IE480W-PCAC-L, PWR-IE170W-PC-AC ","PWR-IE65W-PC-DC, PWR-IE170W-PC-DC",,,,,,,,,,,,RJ45,5 x 5.26 x 5.1,4.35,249,Powers listed are optional. They have fixed connectors that you can connect to with your own rectifier.,
IE-2000-16TC-G-E,"IE 16 10/100,2 FE SFP+2 T/SFP, Base",Switch,Fixed,STK-RACK-DINRAIL,"PWR-IE50W-AC-L, PWR-IE50W-AC-IEC, PWR-IE65W-PC-AC, PWR-IE240W-PCAC-L, PWR-IE480W-PCAC-L, PWR-IE170W-PC-AC ","PWR-IE65W-PC-DC, PWR-IE170W-PC-DC",,,,,,,,,,,,RJ45,5 x 5.26 x 5.1,4.35,250,Powers listed are optional. They have fixed connectors that you can connect to with your own rectifier.,
IE-2000-16TC-G-N,"IE 16 10/100,2 FE SFP+2 T/SFP, Base with 1588 & NAT",Switch,Fixed,STK-RACK-DINRAIL,"PWR-IE50W-AC-L, PWR-IE50W-AC-IEC, PWR-IE65W-PC-AC, PWR-IE240W-PCAC-L, PWR-IE480W-PCAC-L, PWR-IE170W-PC-AC ","PWR-IE65W-PC-DC, PWR-IE170W-PC-DC",,,,,,,,,,,,RJ45,5 x 5.26 x 5.1,4.35,251,Powers listed are optional. They have fixed connectors that you can connect to with your own rectifier.,
IE-2000-4S-TS-G-L,Cisco Industrial Ethernet 2000 Series-,Switch,Fixed,STK-RACK-DINRAIL,"PWR-IE50W-AC-L, PWR-IE50W-AC-IEC, PWR-IE65W-PC-AC, PWR-IE240W-PCAC-L, PWR-IE480W-PCAC-L, PWR-IE170W-PC-AC ","PWR-IE65W-PC-DC, PWR-IE170W-PC-DC",,,,,,,,,,,,RJ45,3.15 x 4.51 x 5.1,2.69,252,Powers listed are optional. They have fixed connectors that you can connect to with your own rectifier.,
IE-2000-4T-G-B-WS,"IE 4 10/100,2 Gig port, Base",,,,,,,,,,,,,,,,,,,,253,,
IE-2000-4TS-G-B,"IE 4 10/100,2 SFP Gig port, Base",Switch,Fixed,STK-RACK-DINRAIL,"PWR-IE50W-AC-L, PWR-IE50W-AC-IEC, PWR-IE65W-PC-AC, PWR-IE240W-PCAC-L, PWR-IE480W-PCAC-L, PWR-IE170W-PC-AC ","PWR-IE65W-PC-DC, PWR-IE170W-PC-DC",,,,,,,,,,,,RJ45,2.95 x 4.51 x 5.1,2.45,254,Powers listed are optional. They have fixed connectors that you can connect to with your own rectifier.,
IE-2000-4TS-G-L,"IE 4 10/100,2 SFP Gig port, Lite",Switch,Fixed,STK-RACK-DINRAIL,"PWR-IE50W-AC-L, PWR-IE50W-AC-IEC, PWR-IE65W-PC-AC, PWR-IE240W-PCAC-L, PWR-IE480W-PCAC-L, PWR-IE170W-PC-AC ","PWR-IE65W-PC-DC, PWR-IE170W-PC-DC",,,,,,,,,,,,RJ45,2.95 x 4.51 x 5.1,2.45,255,Powers listed are optional. They have fixed connectors that you can connect to with your own rectifier.,
IE-2000-8TC-B,"IE 8 10/100,2 FE SFP+2 T/SFP FE,",Switch,Fixed,STK-RACK-DINRAIL,"PWR-IE50W-AC-L, PWR-IE50W-AC-IEC, PWR-IE65W-PC-AC, PWR-IE240W-PCAC-L, PWR-IE480W-PCAC-L, PWR-IE170W-PC-AC ","PWR-IE65W-PC-DC, PWR-IE170W-PC-DC",,,,,,,,,,,,RJ45,3.6 x 4.51 x 5.1,2.75,256,Powers listed are optional. They have fixed connectors that you can connect to with your own rectifier.,
IE-2000-8TC-G-B,"IE 8 10/100,2 T/SFP, Base",Switch,Fixed,STK-RACK-DINRAIL,"PWR-IE50W-AC-L, PWR-IE50W-AC-IEC, PWR-IE65W-PC-AC, PWR-IE240W-PCAC-L, PWR-IE480W-PCAC-L, PWR-IE170W-PC-AC ","PWR-IE65W-PC-DC, PWR-IE170W-PC-DC",,,,,,,,,,,,RJ45,3.6 x 4.51 x 5.1,2.75,257,Powers listed are optional. They have fixed connectors that you can connect to with your own rectifier.,
IE-2000-8TC-G-B-WS,"IE 8 10/100, 2 T/SFP, Base",,,,,,,,,,,,,,,,,,,,258,,
